entity_id,state,last_changed
sensor.hapsic_room_dew_point,46.75,2026-02-17T10:10:34.670Z
sensor.hapsic_supply_flow,372.833343505859,2026-02-17T10:10:38.169Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:10:48.148Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:10:53.140Z
sensor.hapsic_supply_flow,373.555541992188,2026-02-17T10:10:58.151Z
sensor.hapsic_room_dew_point,46.74,2026-02-17T10:11:04.673Z
sensor.hapsic_supply_flow,373.388885498047,2026-02-17T10:11:08.172Z
sensor.hapsic_room_average_rh,46.2,2026-02-17T10:11:09.673Z
sensor.hapsic_room_average_rh,46.19,2026-02-17T10:11:14.675Z
sensor.hapsic_supply_flow,374.166656494141,2026-02-17T10:11:18.164Z
sensor.hapsic_room_average_rh,46.18,2026-02-17T10:11:19.798Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T10:11:23.165Z
sensor.hapsic_room_average_rh,46.17,2026-02-17T10:11:24.878Z
sensor.hapsic_room_dew_point,46.73,2026-02-17T10:11:24.878Z
sensor.hapsic_room_average_rh,46.16,2026-02-17T10:11:29.668Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:11:33.190Z
sensor.hapsic_room_average_rh,46.15,2026-02-17T10:11:34.688Z
sensor.hapsic_supply_flow,372.833343505859,2026-02-17T10:11:38.175Z
sensor.hapsic_room_average_rh,46.13,2026-02-17T10:11:39.673Z
